Osobowy,Plymouth,Sundance,1992
Dostawczy,GMC,Envoy,2004
Dostawczy,Volkswagen,Jetta,2001
Ciężarowy,Nissan,240SX,1993
Osobowy,Ram,3500,2011
F1,Lotus,Esprit,1992
Ciężarowy,Oldsmobile,LSS,1998
Dostawczy,Toyota,Camry,2012
Ciężarowy,Buick,Rendezvous,2003
Dostawczy,Kia,Sedona,2004
Dostawczy,Ford,Escort,1991
Dostawczy,Oldsmobile,88,1996
Ciężarowy,Chevrolet,Malibu,2002
Osobowy,Lamborghini,Diablo,2001
Ciężarowy,Mercury,Mystique,2000
Dostawczy,GMC,Sonoma,1992
Ciężarowy,Kia,Sportage,1997
F1,Subaru,XT,1988
Osobowy,Nissan,Pathfinder,2009
Ciężarowy,Volkswagen,Jetta,2005
Dostawczy,BMW,X3,2005
Ciężarowy,GMC,Sierra 2500,2004
Dostawczy,GMC,Envoy,2007
Dostawczy,Scion,tC,2005
Osobowy,Honda,S2000,2002
Ciężarowy,Jaguar,XK Series,2013
F1,Buick,Coachbuilder,1995
F1,Toyota,Tacoma,2005
Ciężarowy,Oldsmobile,Silhouette,1999
Osobowy,Mercedes-Benz,SL-Class,2005
Dostawczy,Ford,Escape,2004
Osobowy,Land Rover,Range Rover,1999
F1,Toyota,Corolla,1999
Osobowy,Chevrolet,Suburban 2500,2005
Dostawczy,Subaru,Impreza,2010
Dostawczy,Mitsubishi,Galant,2011
Ciężarowy,Ford,Mustang,2008
Dostawczy,Chevrolet,Corvette,2006
Dostawczy,GMC,Sierra 2500,2000
F1,GMC,EV1,1999
Osobowy,Toyota,T100,1994
F1,Ford,Ranger,1987
Dostawczy,Suzuki,Esteem,2002
F1,Dodge,Caravan,1993
Ciężarowy,Dodge,Ram 3500,1994
Ciężarowy,Ford,Mustang,1998
Ciężarowy,Toyota,4Runner,1998
Osobowy,Honda,Civic Si,2006
Ciężarowy,Buick,Electra,1984
F1,Geo,Metro,1997
Ciężarowy,Lincoln,Continental Mark VII,1986
Dostawczy,Nissan,Pathfinder,2003
Ciężarowy,Subaru,SVX,1993
Dostawczy,Ford,E-Series,1985
Dostawczy,Toyota,Tundra,2000
Osobowy,Hyundai,Accent,2002
Dostawczy,Mercury,Cougar,1989
Osobowy,Aston Martin,V8 Vantage,2010
Dostawczy,BMW,Z4,2008
F1,Hyundai,Accent,2013
Osobowy,Dodge,Challenger,2009
F1,Nissan,Quest,1993
Ciężarowy,Rolls-Royce,Ghost,2010
Osobowy,Acura,Integra,1996
Osobowy,GMC,Vandura G2500,1995
F1,Studebaker,Avanti,1962
Osobowy,Nissan,Pathfinder,2012
Ciężarowy,Ford,Escape,2001
F1,Acura,RL,2011
F1,Chevrolet,Silverado 3500,2010
Dostawczy,Kia,Spectra,2008
F1,Lexus,SC,1992
F1,Chevrolet,Avalanche 2500,2004
Dostawczy,Pontiac,GTO,2005
Osobowy,Ford,F150,2010
F1,Subaru,Forester,2012
Osobowy,Subaru,XT,1990
Osobowy,Land Rover,LR3,2009
F1,Land Rover,Discovery,1998
F1,Plymouth,Grand Voyager,1994
F1,Saturn,Ion,2007
Ciężarowy,Bentley,Arnage,2005
Osobowy,Land Rover,Discovery Series II,2001
Ciężarowy,Kia,Spectra,2006
Ciężarowy,GMC,Savana 3500,2012
Osobowy,Mercury,Cougar,1992
Osobowy,Bugatti,Veyron,2009
Dostawczy,GMC,Yukon XL 2500,2005
Dostawczy,Chevrolet,Blazer,1993
Dostawczy,Subaru,Justy,1991
Dostawczy,Honda,Element,2009
F1,Mazda,626,1987
Dostawczy,Infiniti,FX,2004
Osobowy,Pontiac,Firebird,1994
Ciężarowy,GMC,Suburban 1500,1996
Ciężarowy,Audi,Quattro,1985
Osobowy,Mazda,RX-8,2009
F1,Mitsubishi,Eclipse,2006
Osobowy,Nissan,Sentra,2000
Dostawczy,Ford,F350,2007
